restaurant name,restaurant type,cuisines type,rate (out of 5),avg cost (two people),area,local address,city
4Foodiez,Quick Bites,"South Indian, North Indian, Chinese",3.6,300.0,Electronic City,Electronic City,Bangalore
4Foodiez - The Restaurant,Quick Bites,"Street Food, Chinese, North Indian, South Indian",3.0,400.0,Electronic City,Electronic City,Bangalore
4K Biryani,Delivery,"North Indian, Chinese",3.3,700.0,HSR,HSR,Bangalore
4th Tea Block,Cafe,Cafe,4.0,150.0,Basavanagudi,Jayanagar,Bangalore
5 Star Food,Quick Bites,"South Indian, Fast Food",2.8,300.0,Frazer Town,Kammanahalli,Bangalore
50-50 EATING HOUSE,Quick Bites,"South Indian, Biryani",3.2,100.0,Banashankari,Basavanagudi,Bangalore
52 Wall Street,"Bar, Casual Dining","American, Continental, Finger Food",3.9,1400.0,"Byresandra,Tavarekere,Madiwala",Koramangala 6th Block,Bangalore
55 Wall Street,Bar,"Finger Food, North Indian, Chinese",3.9,1300.0,Bannerghatta Road,JP Nagar,Bangalore
56 Bhoga Sweets,"Takeaway, Delivery","Mithai, Street Food",3.6,150.0,HSR,HSR,Bangalore
5th Main Cafe,Cafe,"Cafe, Fast Food",3.5,250.0,"Byresandra,Tavarekere,Madiwala",HSR,Bangalore
7 Days Restaurant,Quick Bites,"North Indian, Chinese, Arabian",3.8,400.0,Electronic City,Electronic City,Bangalore
7 Degrees North,Casual Dining,North Indian,3.5,500.0,HSR,HSR,Bangalore
7 Hills Andhra Mess,Mess,Andhra,3.4,300.0,Indiranagar,CV Raman Nagar,Bangalore
7 Plates,Casual Dining,"North Indian, Mughlai, Rolls, Fast Food",3.5,600.0,Kammanahalli,Kalyan Nagar,Bangalore
7 Shanghai,Quick Bites,Chinese,3.5,250.0,Electronic City,Electronic City,Bangalore
7 Spice,Quick Bites,"Biryani, Chinese",3.4,250.0,Kalyan Nagar,Banaswadi,Bangalore
7 to 11 Food Court,Quick Bites,"Fast Food, Burger, North Indian, South Indian",3.7,200.0,Frazer Town,Banaswadi,Bangalore
70 Brigade - Iris Hotel,Casual Dining,"Chinese, North Indian, Pizza",3.9,1000.0,Brigade Road,Brigade Road,Bangalore
7Biryanis,Casual Dining,"Andhra, Biryani",3.2,600.0,Kalyan Nagar,Nagawara,Bangalore
7th Heaven,Bakery,"Bakery, Desserts",3.6,300.0,New BEL Road,New BEL Road,Bangalore
8 Slice,Delivery,Pizza,3.7,600.0,Brigade Road,Koramangala 6th Block,Bangalore
9 Bowls,Quick Bites,"Healthy Food, Continental, North Indian, Chinese",2.8,500.0,HSR,Koramangala 1st Block,Bangalore
90's,Quick Bites,North Indian,2.8,200.0,HSR,HSR,Bangalore
90's Beer Cafe - Hotel Millennium Plaza,Bar,Finger Food,3.0,1000.0,Electronic City,Electronic City,Bangalore
90's Cafe,Quick Bites,"Fast Food, Burger",2.8,500.0,Jayanagar,JP Nagar,Bangalore
99 Caffe,Quick Bites,"South Indian, North Indian, Chinese",3.6,250.0,Brookefield,Brookefield,Bangalore
99 Pancakes,Dessert Parlor,"Desserts, Ice Cream",4.1,150.0,Brigade Road,Church Street,Bangalore
99 Variety Dosa & Pav Bhaji,Quick Bites,"South Indian, North Indian, Street Food",3.8,250.0,Koramangala 5th Block,Koramangala 6th Block,Bangalore
99 Variety Dosa and Pav Bhaji,Quick Bites,"South Indian, North Indian, Street Food",4.0,250.0,"Byresandra,Tavarekere,Madiwala",HSR,Bangalore
99 Variety Dose-Biryanis-Starters,"Takeaway, Delivery","South Indian, North Indian, Fast Food, Chinese",2.8,300.0,HSR,HSR,Bangalore
99Foods,Quick Bites,"Biryani, North Indian, Chinese, Kebab",3.4,400.0,Marathahalli,Marathahalli,Bangalore
9D Foods,Quick Bites,"North Indian, Street Food",4.0,400.0,Brookefield,Marathahalli,Bangalore
9th Cross Cafe,Cafe,"Cafe, Italian, French",3.6,550.0,Indiranagar,Jeevan Bhima Nagar,Bangalore
A 1 Pizza and Food,Delivery,"Pizza, Chinese, North Indian",2.8,300.0,Indiranagar,Old Airport Road,Bangalore
A Bar,Bar,"North Indian, Continental",3.3,600.0,"Byresandra,Tavarekere,Madiwala",HSR,Bangalore
A Hole Lotta Love Cafe,Cafe,"Cafe, American, Burger, Sandwich, Beverages",4.3,600.0,Koramangala 4th Block,Koramangala 5th Block,Bangalore
A Little For Love,Bakery,Bakery,3.4,350.0,Kalyan Nagar,Hennur,Bangalore
A M Biryani Hotel,Quick Bites,"North Indian, Chinese, Biryani, Fast Food",3.3,300.0,Bannerghatta Road,Bannerghatta Road,Bangalore
A Southern Fair,Casual Dining,"Biryani, Seafood, South Indian",3.0,750.0,Whitefield,Whitefield,Bangalore
A Today Thick Shakes,Beverage Shop,Beverages,3.2,200.0,Jayanagar,Koramangala 5th Block,Bangalore
A.M New Punjab Food Corner,Quick Bites,"North Indian, Chinese",3.5,350.0,"Byresandra,Tavarekere,Madiwala",Koramangala 1st Block,Bangalore
A1 Ambur Dum Biryani And Parota Centre,Quick Bites,Biryani,3.2,300.0,Rajajinagar,Basaveshwara Nagar,Bangalore
A1 Biriyani Point,Quick Bites,Biryani,3.0,200.0,Malleshwaram,Seshadripuram,Bangalore
A1 Garam Masala,Casual Dining,"North Indian, Andhra, Chinese",3.6,500.0,JP Nagar,Kanakapura Road,Bangalore
A1 Hot Dum Biryani,Quick Bites,Biryani,3.2,150.0,Whitefield,Whitefield,Bangalore
A1 Spice Inn,Casual Dining,"Biryani, Chinese, Hyderabadi, North Indian, South Indian",3.5,500.0,Malleshwaram,Yeshwantpur,Bangalore
A2B - Adyar Ananda Bhavan,Casual Dining,"South Indian, North Indian, Chinese, Street Food, Fast Food",2.5,400.0,Whitefield,Whitefield,Bangalore
A2B Veg - Adyar Ananda Bhavan,Casual Dining,"South Indian, Fast Food, Street Food",2.7,400.0,Basavanagudi,Basavanagudi,Bangalore
A3 Nuwang Kitchen,Quick Bites,"Chinese, North Indian",3.7,300.0,Indiranagar,Ejipura,Bangalore
Aaccord Restaurant,Casual Dining,"Continental, North Indian, Chinese",2.8,600.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Aadhya Hotel,"Casual Dining, Bar","South Indian, North Indian, Chinese, Biryani",3.3,800.0,Banashankari,Basavanagudi,Bangalore
Aadvik Nightfood,Delivery,Fast Food,3.6,350.0,Frazer Town,Frazer Town,Bangalore
Aagaman Veg,Casual Dining,"North Indian, Chinese, South Indian",2.8,900.0,Electronic City,Electronic City,Bangalore
Aaha,Quick Bites,"North Indian, Chinese",3.6,300.0,Marathahalli,Brookefield,Bangalore
Aaha Andhra,Casual Dining,"Andhra, Biryani, North Indian",3.4,900.0,Marathahalli,Marathahalli,Bangalore
Aahar Vihar,Quick Bites,North Indian,4.0,250.0,Brookefield,Marathahalli,Bangalore
Aahara Vihar,Quick Bites,"South Indian, North Indian, Chinese",3.5,300.0,Malleshwaram,Malleshwaram,Bangalore
Aaharam,Quick Bites,"Chinese, North Indian",4.0,350.0,HSR,Koramangala 1st Block,Bangalore
Aalishan Restaurant & Caterer,Casual Dining,"North Indian, Mughlai",3.5,650.0,"Byresandra,Tavarekere,Madiwala",Koramangala 7th Block,Bangalore
Aami Bangali,Casual Dining,Bengali,3.0,700.0,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Bangalore
Aami Kolkata,Delivery,Bengali,3.3,600.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Aao G Khao G,Quick Bites,"North Indian, Chinese",3.5,200.0,HSR,HSR,Bangalore
Aapni Rasoi,Quick Bites,North Indian,3.2,400.0,Bellandur,Bellandur,Bangalore
Aaranya Restaurant,Casual Dining,"North Indian, Chinese, Mughlai",3.4,800.0,"Byresandra,Tavarekere,Madiwala",HSR,Bangalore
Aarti Paratha & Rolls Corner,Quick Bites,"North Indian, Fast Food",3.6,200.0,New BEL Road,New BEL Road,Bangalore
Aarya Pork Hotel,Quick Bites,"South Indian, Biryani, Chinese",3.3,300.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Aashirvaad Restaurant,Quick Bites,"North Indian, Oriya, Chinese",3.1,300.0,Brookefield,Marathahalli,Bangalore
Aashish Foods,Quick Bites,North Indian,2.7,150.0,Brookefield,Brookefield,Bangalore
Aasife & Brothers Biriyani Centre,Casual Dining,"Biryani, North Indian, South Indian, Chinese",3.8,600.0,"Byresandra,Tavarekere,Madiwala",HSR,Bangalore
Aastha Bengali Mess,Quick Bites,"Chinese, Bengali",3.9,250.0,Malleshwaram,Yeshwantpur,Bangalore
Aata's Kitchen,Quick Bites,"South Indian, North Indian",2.8,250.0,"Byresandra,Tavarekere,Madiwala",Koramangala 1st Block,Bangalore
Aathithya,Casual Dining,"North Indian, Continental, Chinese",3.1,1100.0,Brigade Road,Infantry Road,Bangalore
Aathurar,Casual Dining,"Chettinad, Biryani, South Indian, Seafood",3.2,600.0,Indiranagar,Jeevan Bhima Nagar,Bangalore
Abbabi Chicken,Quick Bites,Fast Food,3.7,200.0,Sarjapur Road,Bellandur,Bangalore
Abhiruchi,Casual Dining,"Andhra, Seafood, North Indian, Chinese",3.8,650.0,Kalyan Nagar,Kammanahalli,Bangalore
Abhiruchi Andhra Mess,Mess,"Andhra, Biryani, South Indian",3.1,300.0,Whitefield,Whitefield,Bangalore
Abhiruchi Hotel,Casual Dining,"North Indian, South Indian, Chinese",3.2,500.0,"Byresandra,Tavarekere,Madiwala",Bommanahalli,Bangalore
Abhiruchi Moonlight,"Takeaway, Delivery",North Indian,3.3,300.0,"Byresandra,Tavarekere,Madiwala",Bommanahalli,Bangalore
Abhiruchi Restaurant,Casual Dining,"Andhra, North Indian, Chinese",3.4,400.0,Bellandur,Sarjapur Road,Bangalore
AB's - Absolute Barbecues,Casual Dining,"European, Mediterranean, North Indian, BBQ",4.6,1400.0,Kalyan Nagar,Kalyan Nagar,Bangalore
Absolute Chinese,Quick Bites,"Chinese, Fast Food, Momos",3.8,450.0,Malleshwaram,Rajajinagar,Bangalore
Absolute Shawarma,"Takeaway, Delivery",Lebanese,2.8,150.0,Brookefield,Brookefield,Bangalore
Absolute Waffles,Dessert Parlor,"Desserts, Fast Food",3.9,200.0,Malleshwaram,New BEL Road,Bangalore
Aburrahaman,Delivery,"North Indian, South Indian, Chinese",2.8,400.0,Indiranagar,Thippasandra,Bangalore
Abzain Paradise,Quick Bites,North Indian,2.9,300.0,New BEL Road,Sanjay Nagar,Bangalore
Achayyan's,Quick Bites,"Kerala, South Indian",3.8,350.0,Indiranagar,Indiranagar,Bangalore
Ackley Kitchen,Quick Bites,"Fast Food, Continental, Burger",3.6,500.0,Marathahalli,Kaggadasapura,Bangalore
Adarsh Bakery,Bakery,"Bakery, Fast Food",3.1,300.0,Electronic City,Electronic City,Bangalore
Adda,Quick Bites,South Indian,3.3,300.0,Basavanagudi,Shanti Nagar,Bangalore
Addhuri Udupi Bhojana,Quick Bites,"South Indian, North Indian",3.7,300.0,Banashankari,Banashankari,Bangalore
Adiga's,Quick Bites,South Indian,3.3,150.0,Basavanagudi,Jayanagar,Bangalore
Adi's Cake N Cafe,Bakery,Bakery,3.3,400.0,"Byresandra,Tavarekere,Madiwala",Bannerghatta Road,Bangalore
Adithya,Casual Dining,"South Indian, North Indian, Chinese",3.9,450.0,Bannerghatta Road,JP Nagar,Bangalore
Adithya Family Restaurant,Quick Bites,South Indian,3.7,250.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Adithya Tiffin Centre,"Takeaway, Delivery",North Indian,2.8,200.0,Brigade Road,Shanti Nagar,Bangalore
Adithya Veg,Quick Bites,"South Indian, Chinese",3.3,300.0,Basavanagudi,Jayanagar,Bangalore
Aditya Delights,Quick Bites,"Chinese, North Indian, Mangalorean",3.7,300.0,New BEL Road,New BEL Road,Bangalore
Aditya Sweets,Sweet Shop,"Mithai, Fast Food",3.7,200.0,Brookefield,Whitefield,Bangalore
Aditya Uphar,Quick Bites,"South Indian, Chinese, North Indian",3.5,200.0,JP Nagar,JP Nagar,Bangalore
Adukkala Restaurant,Casual Dining,Kerala,2.9,600.0,Kammanahalli,Banaswadi,Bangalore
Adupadi,Quick Bites,"South Indian, Chettinad",2.9,450.0,Whitefield,Whitefield,Bangalore
Advika Briyani Center,Delivery,Biryani,3.2,300.0,JP Nagar,JP Nagar,Bangalore
Adya Hotel,Quick Bites,"South Indian, North Indian, Chinese",3.3,400.0,Electronic City,Electronic City,Bangalore
Adyar Anand Bhavan Sweets,Quick Bites,"South Indian, North Indian, Chinese, Street Food",2.8,200.0,Electronic City,Electronic City,Bangalore
Adyar Ananda Bhavan - Sweets,"Takeaway, Delivery","Mithai, Desserts",3.4,200.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Adyar Ananda Bhavan Sweets,"Takeaway, Delivery","Mithai, Desserts",3.6,200.0,JP Nagar,JP Nagar,Bangalore
Afghani Tandoori Hub,Quick Bites,"Arabian, Afghan",3.6,400.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Afoozoo - Ginger Hotel,Casual Dining,"North Indian, Chinese",3.5,800.0,Brookefield,Whitefield,Bangalore
Afrina's Kitchen,"Takeaway, Delivery","Fast Food, Desserts",3.4,250.0,Frazer Town,Kammanahalli,Bangalore
Agarwal Food Service,Delivery,"North Indian, Chinese, Biryani",3.5,400.0,HSR,HSR,Bangalore
Agent Jack's Bar,Bar,"Continental, North Indian, Italian",4.0,1300.0,Kalyan Nagar,Kalyan Nagar,Bangalore
Agraharaa,Quick Bites,South Indian,2.8,150.0,Koramangala 4th Block,Koramangala 6th Block,Bangalore
Agraharam Meal,"Takeaway, Delivery","North Indian, South Indian",3.7,300.0,Marathahalli,Kaggadasapura,Bangalore
Aha Juice Bar,Beverage Shop,"Beverages, Fast Food",3.6,200.0,Bannerghatta Road,BTM,Bangalore
Ahaan Restaurant,Delivery,"North Indian, Chinese",2.8,300.0,Frazer Town,RT Nagar,Bangalore
AhimsaAmrit Green Cafe,Casual Dining,"Healthy Food, Salad, Continental",3.4,800.0,Indiranagar,Indiranagar,Bangalore
Ahmad's Chicken Hut,Quick Bites,"North Indian, Chinese",3.2,200.0,Kalyan Nagar,Banaswadi,Bangalore
Ahmed's Little Hut,Quick Bites,Fast Food,2.8,250.0,Bannerghatta Road,BTM,Bangalore
Ahmeds Takeaway Restaurant,"Takeaway, Delivery","North Indian, Chinese",2.8,250.0,Frazer Town,Frazer Town,Bangalore
Aioli,Casual Dining,"Mediterranean, Continental, Italian, Salad",4.2,1400.0,Kalyan Nagar,Kalyan Nagar,Bangalore
Airlines Hotel,Quick Bites,"South Indian, North Indian, Street Food",4.0,400.0,Brigade Road,Lavelle Road,Bangalore
Aishwarya,Dhaba,"Chinese, North Indian",3.3,450.0,Whitefield,Whitefield,Bangalore
Aishwarya Parkland,Casual Dining,"Chinese, North Indian",2.9,500.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Aishwarya Sweets,Sweet Shop,"Mithai, Street Food",3.6,250.0,Malleshwaram,Rajajinagar,Bangalore
Aishwarya Uphar,Quick Bites,"South Indian, North Indian",2.8,150.0,Brigade Road,Ulsoor,Bangalore
Ajwa Thalassery Biryani,Quick Bites,"Biryani, South Indian",3.9,500.0,Bellandur,Sarjapur Road,Bangalore
Akkad Bakkad,Casual Dining,"North Indian, Chinese",3.9,600.0,Electronic City,Electronic City,Bangalore
AKS Family Dhaba And Restaurant,Quick Bites,"North Indian, Mughlai, South Indian",3.6,500.0,Marathahalli,Marathahalli,Bangalore
Akshara,Casual Dining,"North Indian, South Indian, Chinese",3.8,700.0,Electronic City,Electronic City,Bangalore
Akshatha Nati Style,Quick Bites,"South Indian, Chinese, North Indian",3.7,500.0,Rajajinagar,Vijay Nagar,Bangalore
Akshaya Bar And Restaurant,"Casual Dining, Bar","North Indian, South Indian, Chinese, Fast Food",2.8,600.0,"Byresandra,Tavarekere,Madiwala",Koramangala 1st Block,Bangalore
AKSHAYA BIRYANI,Quick Bites,"Biryani, North Indian",3.6,300.0,Bellandur,Sarjapur Road,Bangalore
Akshaya Deluxe,Casual Dining,"North Indian, Chinese, Seafood, Biryani",4.0,500.0,New BEL Road,New BEL Road,Bangalore
Akshaya Donne Biriyani,Quick Bites,"Biryani, South Indian, Kebab",3.0,300.0,JP Nagar,JP Nagar,Bangalore
Akshaya Family Restaurant,Quick Bites,"South Indian, North Indian",3.2,150.0,Kalyan Nagar,Banaswadi,Bangalore
Akshaya Grand,Casual Dining,North Indian,3.4,750.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Akshaya Sambrama Veg Restaurant,Quick Bites,"South Indian, Chinese",3.2,200.0,Church Street,Vasanth Nagar,Bangalore
Akss - India Reimagined,Casual Dining,"Modern Indian, North Indian",4.2,1800.0,Malleshwaram,Sadashiv Nagar,Bangalore
Al Amal Cafe,"Cafe, Quick Bites","Cafe, Fast Food",4.0,300.0,Kalyan Nagar,Kammanahalli,Bangalore
Al Amanah Cafe,Quick Bites,"Middle Eastern, Fast Food, Rolls",4.4,300.0,Frazer Town,Kammanahalli,Bangalore
Al Ameen Rolls Corner,Quick Bites,Rolls,3.7,200.0,Kalyan Nagar,Kammanahalli,Bangalore
Al Barack Cafetaria,Quick Bites,Arabian,3.6,300.0,Kalyan Nagar,Banaswadi,Bangalore
Al Daaz,Casual Dining,"North Indian, Continental, BBQ",4.2,550.0,Bellandur,HSR,Bangalore
Al Diwan Biryanis And More,"Takeaway, Delivery",Biryani,3.2,300.0,Jayanagar,Basavanagudi,Bangalore
Al Ghani Resetaurant,Quick Bites,"Mughlai, Biryani",3.3,400.0,Kammanahalli,Kammanahalli,Bangalore
Al Habibi Restaurant,Quick Bites,"North Indian, Chinese",3.5,300.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Al Hayath,Quick Bites,"North Indian, Chinese",3.5,200.0,Koramangala 5th Block,BTM,Bangalore
Al Hayath Ambur Biryani,Quick Bites,Biryani,3.3,200.0,Koramangala 4th Block,Ejipura,Bangalore
Al Khaleej Snacks Corner,Quick Bites,"Lebanese, Fast Food, Beverages",2.8,200.0,Basavanagudi,Jayanagar,Bangalore
Al Khansah,Casual Dining,"Biryani, Mughlai, Chinese, North Indian, Kebab",3.9,550.0,Bellandur,Bellandur,Bangalore
Al Khwaja,Casual Dining,"North Indian, Chinese",3.0,400.0,Bellandur,Bellandur,Bangalore
Al Madhina Roll House,Quick Bites,"North Indian, Chinese",3.4,300.0,Kammanahalli,Kalyan Nagar,Bangalore
Al Madina Family Restaurant,Quick Bites,"North Indian, South Indian, Arabian",2.8,500.0,Basavanagudi,City Market,Bangalore
Al Madina Roll House,Quick Bites,Biryani,3.6,150.0,Kalyan Nagar,Kalyan Nagar,Bangalore
Al Manar,Quick Bites,"South Indian, North Indian, Chinese",2.8,400.0,Koramangala 7th Block,Wilson Garden,Bangalore
Al Noor,Quick Bites,"North Indian, Chinese, Arabian, Rolls",3.7,350.0,Brigade Road,Shivajinagar,Bangalore
Al Sadique,Quick Bites,"North Indian, Mughlai, Chinese, Rolls",3.9,450.0,Rajajinagar,Magadi Road,Bangalore
Al Sadique Restaurant,Quick Bites,"Mughlai, North Indian, Street Food",3.4,350.0,MG Road,Frazer Town,Bangalore
Al Swaad Take Away,Quick Bites,"North Indian, South Indian, Arabian",3.1,350.0,Brigade Road,Richmond Road,Bangalore
Al Taj Fast Food,Quick Bites,"Fast Food, North Indian, South Indian, Chinese",3.2,600.0,Rajajinagar,Vijay Nagar,Bangalore
Al Zaiqa Hotel,Quick Bites,"Chinese, South Indian, Fast Food",3.4,200.0,Marathahalli,Marathahalli,Bangalore
Alampur Bar And Restaurant,Casual Dining,"Chinese, South Indian, North Indian",3.7,900.0,Brigade Road,Race Course Road,Bangalore
Alankar Restaurant,Casual Dining,"South Indian, North Indian, Chinese",2.8,800.0,Marathahalli,Marathahalli,Bangalore
Alankrutha,Casual Dining,"Andhra, Biryani, North Indian, Chinese",3.8,500.0,Koramangala 5th Block,BTM,Bangalore
Alba - JW Marriott Bengaluru,Fine Dining,Italian,4.4,4000.0,Church Street,Lavelle Road,Bangalore
Al-Badia Restaurant,Casual Dining,Arabian,4.2,700.0,Kalyan Nagar,Kammanahalli,Bangalore
Al-Baik Kabab Corner,Quick Bites,"Kebab, Biryani",3.2,350.0,Malleshwaram,Yeshwantpur,Bangalore
Al-Baik Tandoori Restaurant,Quick Bites,"North Indian, Chinese, Arabian, Biryani, Rolls",3.6,450.0,Frazer Town,Nagawara,Bangalore
Al-Bek,Casual Dining,"North Indian, Mughlai, Chinese, Seafood",3.9,650.0,"Byresandra,Tavarekere,Madiwala",Jayanagar,Bangalore
Albert Bakery,Bakery,"Bakery, Fast Food",4.3,150.0,Frazer Town,Frazer Town,Bangalore
Alchemy - The Chancery Pavilion,"Microbrewery, Casual Dining",Modern Indian,4.3,2000.0,Brigade Road,Residency Road,Bangalore
Alchemy Coffee Roasters,Cafe,Cafe,4.2,500.0,Basavanagudi,Jayanagar,Bangalore
Alfa Family Restaurant,Casual Dining,"North Indian, Arabian, Chinese",3.0,400.0,Basavanagudi,Wilson Garden,Bangalore
Alfresco by Bene -Sheraton Grand Bangalore Hotel at...,"Bar, Casual Dining",Continental,3.7,2000.0,Malleshwaram,Malleshwaram,Bangalore
